spotify_id,deezer_song_id,msd_song_id,msd_track_id,valence,arousal,artist,track,dataset_split
4kIe7B40s7KFoktRqHGUaX,533922,SOMYOSK12AB01801DC,TRWBUCU128F932A3B5,0.678952182,-2.333604153,Crash Test Dummies,Just Chillin',test
4kx0IxEDGkzy303ZZn0niO,533924,SOSAZAT12AB01801EF,TRFAGGM128F932A3BB,0.984579142,-0.010504292,Crash Test Dummies,Get You In The Morning,test
2QG23t3KFczmjTEGIpOo01,533925,SOLQDBM12AB01801FE,TRVKSPJ128F932A3BF,0.373325221,-0.923150666,Crash Test Dummies,Just Shoot Me_ Baby,test
2lqVaK61MazdkYfBjxDYaI,536164,SOHEUAX12AB018744C,TRRKNMB12903CC6B7E,1.071901131,0.846830181,Tina Arena,I Want To Know What Love Is,test
6h7ozUeJofRa3KxNaPWd9T,540954,SOQVACM12AF72A48D9,TRQHHJK128F92F12C2,1.070081923,1.018911652,Rachael Yamagata,1963,test
234AYE6GUkpgfruH5S4z3E,540956,SOWPWJG12A8C13EB6A,TRJMVBQ128F92F12C3,0.378782845,-1.516217164,Rachael Yamagata,Under My Skin,test
2cpR6fK6oWSm2kzYp1NKDB,540967,SOYXRAL12AF729EFC9,TRPESQP128F92F12C7,-0.147877899,-0.463140019,Rachael Yamagata,Quiet,test
1kkKtBUckZ7UEXW5KREnXW,541416,SOHEZUJ12A8C13094D,TROYHQE128F42681F5,-0.431674363,0.095510186,Jeff Wayne,The Spirit Of Man,test
1TNajIfgNtExNot2kuHbiQ,541830,SOBRQFE12A8AE486DF,TRWGBXW128F425E1F4,-0.535369224,-0.747996311,Barry Manilow,Could It Be Magic,test
5fG5ii9CUf3rIEkllqMFYq,541864,SOBWYSF12A58A7DC01,TRUUBST128F426F895,-1.004724914,0.869876806,Chevelle,Comfortable Liar,test
22oyf1PmxOvEITZGT1k6NG,541869,SOBTITR12A8C135C38,TRBGHDW128F426F8A1,-1.435877234,1.639634101,Chevelle,Don't Fake This,test
2uz3MkKtEEsOGHTHjovyMD,541870,SOIUXEF12A8AE479A3,TRYPYAE128F426F8A4,-1.700572012,1.842444407,Chevelle,Forfeit,test
0d4X1l5kvJ8ZytRK7T5xwn,548327,SOKGJMM12A8C140DD5,TRXPVAK128F42ACF79,1.071901131,0.846830181,Outlandish,Any Given Time,test
7fXzMMlCz0pwhhcb0Vb46U,549447,SOOMQZA12A8C13F124,TROFAQT128F42B11F3,-1.460436543,1.178701589,John Gorka,Where the Bottles Break,test
0IX9DrHNJcidnHO5bWjRYl,549449,SOMZSPS12A58A77E8D,TRVXCHJ128F42B1204,-1.040199472,-0.065816193,John Gorka,Houses in the Fields,test
4qaVLVIFnUU7Ae6u5qzZbt,550541,SOPKUKO12AF729FEDF,TROPSKY128F42BCE79,0.373325221,-0.923150666,The View,Street Lights,test
47tqiWPJYWnc128dAlKNde,550542,SOGOFFL12A8C142D86,TRQHOMZ128F42BCE7A,0.815392789,0.662457176,The View,Wasteland,test
1JgAP2WfxB1pLAfEJhD19W,550609,SOIMEQS12A8AE485C0,TRIZGVJ128F425A11C,0.815392789,0.662457176,Manic Street Preachers,Underdogs,test
5rd1mbTqkhgssz44IcUw6x,550955,SOMMHAJ12A58A7B260,TRQDXTA128F42BCE99,0.815392789,0.662457176,Hellogoodbye,Stuck To You,test
6K14VIKNir1idKNMwRDFwG,550964,SOIOPJQ12A58A78224,TRGNPKX128F42BCEA3,1.178324805,1.183310915,Hellogoodbye,I Saw It On Your Keyboard,test
5rhxPOPzRpbJ0YXUMtKejv,550966,SONIOHY12A58A7A313,TRNZUTZ128F42BCEA5,1.178324805,1.183310915,Hellogoodbye,Touchdown Turnaround (Don't Give Up On Me),test
06ma4jBAVASUAG15pKWdj1,550968,SOBUEXY12A8C13FB59,TRXHUJS128F42BCEA7,0.592721718,0.561052023,Hellogoodbye,Two Weeks In Hawaii,test
0oGr0uxqO2DXzqfF2iYHZ0,552814,SOXSPQE12A8C13FB53,TRVCEGO128F42BCE94,1.070081923,1.298544043,Hellogoodbye,All Of Your Love,test
2JakvAHJvHJaMm2MqYAQ7f,555241,SOVZFLP12A58A7C9E5,TRLTOVG128F92C44C4,1.071901131,0.846830181,Scary Kids Scaring Kids,The Deep End,test
4D8v4RhujyyHDDyj9MKtrf,555244,SOTEMRY12A8C1436B3,TRWWXVW128F92C44C7,0.02949489,-1.491634097,Scary Kids Scaring Kids,Star Crossed,test
1oTu5zB1n9G3nioqUL8CTM,555250,SOHHNYR12A58A7991C,TREGGWT128F92C44CD,-0.907852083,-0.245579873,Scary Kids Scaring Kids,Watch Me Bleed,test
2j2lyb6LKIGkAQNGgMsFHp,555252,SOVSMRC12A8C140E25,TRPJZEN128F92C44CF,-1.749690631,0.920579383,Scary Kids Scaring Kids,Blood Runs Forever,test
36SLXQRV3HtS04hpk90L3y,556030,SOJUOKU12A8C134DBF,TRNLMGK128F4279CC5,-1.048385908,0.335195092,Manic Street Preachers,The Everlasting,test
6ve027hGJz2WatekIi2bFr,556031,SOBEZUO12A8C135B73,TRRFPVL128F4279CBD,-1.085224872,-0.022027605,Manic Street Preachers,If You Tolerate This Your Children Will Be Next,test
06hmlEWGTO9L8Op5p1dT9h,556032,SOHCBSV12A8C135B77,TRTKGCM128F4279CBE,-1.700572012,1.842444407,Manic Street Preachers,You Stole The Sun From My Heart,test
3SjbVEdUWeY5oXhuanrfgL,556035,SOQMRWI12A8BED0308,TRASZCF128F4260947,-1.215934974,-0.290751259,Manic Street Preachers,My Little Empire,test
0d1rJUYxKOaKTzIyhMZKKD,556036,SOUMREA12AB0181985,TRKDZNS128F9329B8B,-0.379826932,0.241472148,Manic Street Preachers,I'm Not Working,test
54nZeKU6SXX3YWBVnuG6M0,556041,SOFKQJA12A8C1346C0,TRDBEXE128F426094D,-1.1138774,1.086515087,Manic Street Preachers,Nobody Loved You,test
30yLXSnDkJULWIA4cVNXaj,556438,SOSBSOC12A8C137D7E,TRRUPHA128F427F2F8,-0.772775881,-0.280918032,Anna Nalick,Wreck Of The Day,test
5GSI8hDUMGAqYEWfKyiV4w,556439,SOALWXO12A8C135C64,TRBOIUO128F427F2FC,-0.142966037,-0.901025905,Anna Nalick,In My Head,test
5Oy7zMZtpjCHWocZD445mG,556440,SOZWJFH12A8C135C6A,TRCNCAJ128F427F2FE,-1.487724664,-0.360813001,Anna Nalick,Catalyst,test
60Ovl19dCqpFd0Zvkcgmog,556444,SOVBPHX12AF72AA7B2,TRGKLBT128F427F304,0.288732044,-0.363117663,Anna Nalick,Forever Love (Digame),test
7vNkFBFLxK1qFTECjcjZRf,563301,SOTHCPU12A8AE4761D,TRCYIYL128F4259FA6,-1.495911101,0.040198285,James Dean Bradfield,Still A Long Way To Go,test
1QRHc5oVizcckSpP92h7Z1,566675,SOLTBEF12A8C13E9D2,TRTIVLW128F42B3254,1.071901131,0.846830181,Barry Manilow,This Guy's In Love With You,test
5d0nLUgvw3uxBFvTWKAUn5,566680,SOELGHJ12A8C13E834,TRHCNZI128F42B325A,1.071901131,0.846830181,Barry Manilow,What The World Needs Now Is Love,test
26mJWkxtvMXf6SnXrMmCq6,568715,SOZJJJT12A8C135C5A,TRAFEFH128F427F2FA,0.373325221,-0.923150666,Anna Nalick,Satellite,test
389SLFj1yxinOxB3Q9I8GH,569117,SOBENRK12A8C135F68,TRMEHHR128F428EDF5,-1.040199472,-0.065816193,Screaming Trees,Dying Days,test
4wt5NRefRAzqCTIVntqp7m,569118,SOSTEGY12A8C135F71,TRHILIF128F427738C,-1.040199472,-0.065816193,Screaming Trees,Sworn And Broken,test
5xY3QGHLEi9I9V42QTecgh,570585,SOPOFXE12AB017EF21,TRAQIFA128F932F367,1.541256821,1.704164653,Gavin DeGraw,I Don't Want To Be,test
1Faai0XSf61tw78arbB7Fa,570595,SOIKCUE12A8C132D40,TRGYZZH128F42660B6,0.145469407,-1.063735082,Gavin DeGraw,More Than Anyone,test
5fiOvuLXJWsrX79ECGYbFg,570627,SOGKCTV12A8C138DBD,TRUGHQX128F4285281,-0.431674363,0.095510186,Gavin DeGraw,Belief,test
1MJBDsqd7upaAHIuQmf4Uy,586963,SOLKBPJ12A8C13C937,TRFGFBN128F42AD540,-1.115696608,0.081682211,Howie Day,Numbness For Sound,test
